,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,pasighat,99,IN,1624091645,71,28.0667,95.3333,87.33,2.21
371,shelburne,78,CA,1624091646,100,44.0787,-80.2041,61.75,8.21
372,birao,1,CF,1624091647,46,10.2849,22.7882,88.56,6.64
373,poum,88,NC,1624091647,77,-20.2333,164.0167,75.07,10.16
374,rincon,64,US,1624091649,93,32.296,-81.2354,77.86,0.0
375,zyryanka,20,RU,1624091649,39,65.75,150.85,68.09,11.48
376,mount gambier,0,GB,1624091650,86,53.6597,-1.8537,60.46,1.99
377,marsh harbour,84,GB,1624091651,86,53.6512,-1.8078,60.58,1.99
378,san quintin,84,ML,1624091448,42,13.3034,-4.8956,89.92,14.43
379,gamba,80,GA,1624091652,75,-2.65,10.0,77.77,11.05
380,dagumba-an,94,PH,1624091653,96,8.1531,124.5908,78.67,0.89
381,outjo,100,NA,1624091653,22,-20.1167,16.15,73.11,19.19
382,pangkalanbuun,0,ID,1624091654,97,-2.6833,111.6167,75.25,4.5
383,bethanien,100,NA,1624091655,23,-26.502,17.1583,70.45,13.67
384,chilmari,6,BD,1624091656,84,25.5559,89.6715,79.21,7.4
385,xinye,100,CN,1624091656,73,32.5186,112.3522,72.27,5.28
386,sault sainte marie,100,FR,1624091657,45,44.091,5.4089,72.79,8.72
387,baykit,85,RU,1624091658,40,61.67,96.37,77.77,8.28
388,mehran,70,IR,1624091658,9,33.1222,46.1646,112.48,18.92
389,samarkand,0,UZ,1624091659,10,39.6542,66.9597,94.42,6.91
390,solnechnyy,2,RU,1624091660,54,50.7214,136.6319,70.03,6.64
391,esperance,98,AU,1624091660,56,-33.8667,121.9,60.64,9.8
392,santa rosa de cabal,43,PH,1624091661,75,17.486,120.4348,84.06,8.55
393,rawson,70,AR,1624091662,82,-43.3002,-65.1023,39.02,20.45
394,ponta delgada,0,PT,1624091513,83,38.7333,-28.2667,63.28,13.27
395,koboko,22,UG,1624091663,73,3.4136,30.9599,72.59,4.59
396,norden,98,DE,1624091664,77,53.6,7.2,71.94,5.01
397,cabo rojo,100,BR,1624091665,95,-8.2833,-35.0333,69.73,9.31
398,stantsionno-oyashinskiy,74,RU,1624091666,60,55.4664,83.8245,73.62,11.3
399,ventnor city,94,GB,1624091666,90,50.5948,-1.2037,57.42,1.99
400,pangnirtung,87,CA,1624091667,74,66.1451,-65.7125,41.09,4.34
401,buenos aires,100,US,1624091668,59,33.2993,-101.4876,76.57,11.9
402,dunedin,0,NZ,1624091669,92,-45.8742,170.5036,47.8,8.01
403,dwarka,100,IN,1624091669,66,22.2394,68.9678,87.37,18.48
404,toyooka,80,JP,1624091670,94,35.5333,134.8333,73.51,3.44
405,tommot,75,RU,1624091671,60,58.9564,126.2925,78.76,2.68
406,goderich,97,CA,1624091671,94,43.7501,-81.7165,65.91,1.14
407,dakar,0,SN,1624091672,78,14.6937,-17.4441,77.13,6.91
408,govindgarh,20,IN,1624091673,42,27.5,76.9833,94.15,13.29
409,bontang,91,ID,1624091387,70,0.1333,117.5,83.12,7.94
410,kungurtug,71,RU,1624091674,20,50.5994,97.5228,78.76,3.47
411,yumen,14,CN,1624091675,22,40.2833,97.2,78.53,15.12
412,bandarbeyla,100,SO,1624091676,45,9.4942,50.8122,91.94,27.85
413,acapulco,68,MX,1624091598,95,16.8634,-99.8901,76.26,10.33
414,rio gallegos,100,GR,1624091678,61,38.3,21.7833,86.88,4.94
415,avera,42,US,1624091678,83,33.194,-82.5271,75.07,5.41
416,kulhudhuffushi,100,MV,1624091679,76,6.6221,73.07,82.78,13.82
417,chyhyryn,68,UA,1624091680,75,49.0838,32.6555,74.48,10.58
418,meadville,43,US,1624091680,94,41.6414,-80.1515,71.46,4.61
419,ulladulla,75,AU,1624091681,71,-35.35,150.4667,56.88,21.56
420,zhangye,95,CN,1624091682,44,38.9342,100.4517,65.89,10.54
421,caravelas,100,BR,1624091682,88,-17.7125,-39.2481,68.45,8.99
422,bartica,100,GY,1624091683,100,6.4,-58.6167,75.52,1.41
423,ciro marina,62,IT,1624091684,51,39.3824,17.0626,87.04,8.9
424,kenai,6,US,1624091685,77,60.5544,-151.2583,57.29,0.0
425,biak,20,ID,1624091685,79,-0.9131,122.8766,79.54,6.62
426,pinega,95,RU,1624091686,38,64.7001,43.3936,70.66,18.14
427,antalaha,7,MG,1624091687,84,-14.9003,50.2788,75.45,11.97
428,synya,24,RU,1624091687,79,65.3718,58.0387,52.7,12.06
429,shenjiamen,99,CN,1624091688,91,29.9576,122.298,71.76,9.35
430,litovko,100,RU,1624091689,77,49.2361,135.1742,67.82,5.53
431,duluth,100,US,1624091504,90,46.7833,-92.1066,57.6,6.91
432,srednekolymsk,1,RU,1624091690,37,67.45,153.6833,60.75,9.31
433,belyy yar,0,RU,1624091691,46,55.8402,32.9419,78.96,5.17
434,hambantota,0,LK,1624091691,46,6.1241,81.1185,97.14,12.66
435,iroquois falls,20,US,1624091692,87,40.7506,-87.8334,73.69,4.0
436,aldan,100,RU,1624091693,71,58.6031,125.3894,69.76,1.88
437,rocha,100,UY,1624091693,89,-34.4833,-54.3333,47.66,2.42
438,mocuba,95,MZ,1624091694,50,-16.8392,36.9856,77.36,8.72
439,shubarshi,26,KZ,1624091695,24,48.5872,57.1869,78.28,9.8
440,watertown,64,US,1624091695,72,42.3709,-71.1828,69.71,1.99
441,lensk,75,RU,1624091589,38,60.7253,114.9278,77.77,6.22
442,kwekwe,100,ZW,1624091697,35,-18.9281,29.8149,69.42,12.5
443,richards bay,5,US,1624091699,82,46.8361,-95.9123,56.48,6.91
444,eureka,1,US,1624091699,74,40.8021,-124.1637,56.68,1.01
445,leeton,4,AU,1624091700,71,-34.5667,146.4,51.85,5.75
446,kushima,0,JP,1624091701,86,31.4583,131.2333,85.51,3.31
447,tianpeng,100,CN,1624091702,70,30.9866,103.9393,82.87,3.42
448,usinsk,100,RU,1624091704,74,65.9939,57.5281,54.23,22.64
449,fujin,100,CN,1624091704,78,47.26,132.0322,65.3,13.15
450,minas,99,UY,1624091705,87,-34.3759,-55.2377,39.67,4.12
451,flinders,100,AU,1624091706,73,-34.5833,150.8552,57.18,10.0
452,vilhena,100,BR,1624091636,81,-12.7406,-60.1458,61.09,2.13
453,roald,45,NO,1624091707,82,62.5833,6.1333,56.91,14.97
454,olafsvik,75,IS,1624091708,93,64.8945,-23.7142,39.22,9.53
455,kondopoga,93,RU,1624091708,43,62.2057,34.2614,76.68,9.04
456,janakkala,13,FI,1624091709,40,60.9,24.6,79.66,6.29
457,upington,7,ZA,1624091710,29,-28.4478,21.2561,64.78,2.3
458,iskateley,0,RU,1624091710,95,67.6803,53.1512,50.9,20.96
459,vestmannaeyjar,100,IS,1624091711,74,63.4427,-20.2734,44.89,4.21
460,namwala,100,ZM,1624091712,39,-15.7504,26.4384,73.27,12.3
461,namibe,0,AO,1624091712,88,-15.1961,12.1522,61.43,16.11
462,simoes,20,BR,1624091713,80,-7.5989,-40.8178,66.0,15.08
463,najran,7,SA,1624091714,10,17.4924,44.1277,97.45,10.25
464,mangochi,5,MW,1624091715,48,-14.4782,35.2645,76.03,10.74
465,geraldton,30,AU,1624091716,37,-28.7667,114.6,68.41,8.05
466,camacha,56,PT,1624091716,55,33.0833,-16.3333,64.53,12.66
467,sangar,20,RU,1624091593,29,63.9242,127.4739,76.15,5.08
468,vanavara,27,RU,1624091718,46,60.34,102.2797,72.27,6.49
469,zhicheng,98,CN,1624091719,76,30.2956,111.5047,74.28,2.71
470,orsha,100,BY,1624091720,64,54.5153,30.4053,78.91,8.99
471,yerbogachen,0,RU,1624091721,78,61.2767,108.0108,61.86,4.27
472,angoche,94,MZ,1624091721,56,-16.2325,39.9086,79.3,11.65
473,zabaykalsk,19,RU,1624091722,83,49.6333,117.3167,56.55,7.74
474,maceio,100,BR,1624091463,88,-9.6658,-35.7353,72.84,4.61
475,nishihara,20,JP,1624091723,89,26.1842,127.7558,85.68,12.66
476,ust-tsilma,90,RU,1624091724,83,65.441,52.1498,60.26,12.75
477,inyonga,98,TZ,1624091725,36,-6.7167,32.0667,76.73,8.59
478,meulaboh,100,ID,1624091725,67,4.1363,96.1285,84.7,7.4
479,elko,76,US,1624091726,33,41.0002,-115.5012,70.81,2.13
480,zhumadian,100,CN,1624091727,74,32.9794,114.0294,72.09,3.65
481,gigmoto,100,PH,1624091727,70,13.7796,124.39,87.53,9.6
482,necochea,100,AR,1624091728,73,-38.5473,-58.7368,37.04,5.61
483,trat,100,TH,1624091729,69,12.5,102.5,89.78,8.97
484,maralal,85,KE,1624091729,46,1.0968,36.698,71.15,3.24
485,cap-haitien,100,HT,1624091730,76,19.7578,-72.2042,78.78,4.27
486,owando,99,CG,1624091731,48,-0.4819,15.8999,88.45,1.92
487,mahon,53,ES,1624091731,57,39.8885,4.2658,82.96,13.8
488,mareeba,20,AU,1624091732,77,-17.0,145.4333,65.44,3.33
489,turbat,5,PK,1624091733,22,26.0023,63.044,103.48,11.23
490,jalu,0,LY,1624091734,32,29.0331,21.5482,85.3,13.67
491,bac lieu,0,RS,1624091734,51,45.3919,19.2367,87.31,6.93
492,bubaque,1,GW,1624091735,84,11.2833,-15.8333,79.07,13.33
493,lata,100,PT,1624091736,87,40.1629,-8.3327,66.34,0.6
494,taungdwingyi,99,MM,1624091736,75,20.0167,95.55,81.97,11.79
495,altay,97,CN,1624091737,21,47.8667,88.1167,85.03,13.04
496,minab,92,IR,1624091738,40,27.1467,57.0801,96.3,14.56
497,chitral,0,PK,1624091738,8,35.8462,71.7858,84.0,1.48
498,carballo,0,ES,1624091739,90,43.213,-8.691,58.77,2.84
499,guaratinga,100,BR,1624091740,98,-16.5667,-39.5667,66.87,3.96
500,jumla,87,NP,1624091740,94,29.2747,82.1838,62.62,1.99
501,golden,97,US,1624091741,54,39.7555,-105.2211,72.36,1.99
502,kaduna,1,NG,1624091742,67,10.5222,7.4383,79.47,6.38
503,yining,100,CN,1624091743,95,29.0361,114.5636,73.83,2.77
504,port hedland,100,CD,1624091743,54,-7.0349,29.7638,77.76,11.18
505,barentu,16,ER,1624091744,32,15.1139,37.5928,89.26,11.63
506,chernyshevskiy,28,RU,1624091745,28,63.0128,112.4714,78.71,5.82
507,cabra,100,ES,1624091746,64,37.4725,-4.4421,65.39,6.35
508,mirabad,100,AF,1624091746,4,30.4362,61.8383,105.51,14.94
509,dingle,0,PH,1624091747,77,10.9995,122.6711,83.55,10.02
510,pelym,100,RU,1624091748,34,61.0108,61.9978,69.58,7.58
511,pacific grove,84,US,1624091749,88,38.482,-90.7415,80.58,8.25
512,olga,53,RU,1624091750,97,43.7444,135.2892,50.32,14.94
513,vila nova de milfontes,100,PT,1624091750,86,42.0304,-8.1588,55.74,4.25
514,havelock,40,US,1624091623,88,34.8791,-76.9013,77.95,1.01
515,havoysund,32,NO,1624091752,94,70.9963,24.6622,47.28,5.21
516,nizhniy tsasuchey,100,RU,1624091752,58,45.3926,39.2364,89.98,17.25
517,teya,41,RU,1624091753,33,60.3778,92.6267,83.71,0.18
518,tsiroanomandidy,14,MG,1624091754,30,-18.7667,46.0333,77.94,4.38
519,skeldon,62,GY,1624091754,96,5.8833,-57.1333,73.71,5.39
520,krasnyy kholm,44,RU,1624091755,62,54.5678,31.4333,73.96,7.94
521,mitchell,0,US,1624091756,59,43.7094,-98.0298,64.11,1.01
522,luba,1,GQ,1624091757,80,3.4568,8.5547,78.69,2.66
523,natchitoches,61,US,1624091758,100,31.7668,-93.1335,72.45,0.0
524,charlestown,1,AU,1624091759,91,-32.95,151.6667,58.21,8.01
525,bahia blanca,100,BR,1624091760,88,-12.0,-42.0,62.06,6.31
526,christchurch,100,NZ,1624091684,87,-43.5333,172.6333,45.0,1.01
527,ahuimanu,75,US,1624091761,69,21.4447,-157.8378,76.75,4.61
528,lieksa,75,FI,1624091762,62,63.3167,30.0167,58.96,6.58
529,chacabuco,94,AR,1624091763,67,-34.6417,-60.4739,35.8,2.68
530,noumea,85,NC,1624091683,99,-22.2763,166.4572,73.99,9.69
531,dire,67,ML,1624091764,64,12.2833,-10.9667,84.07,5.08
532,glasgow,12,GB,1624091557,79,55.8652,-4.2576,58.71,6.91
533,sawtell,75,AU,1624091766,58,-30.3833,153.1,63.19,17.27
534,hualmay,92,PE,1624091766,88,-11.0964,-77.6139,64.31,6.29
535,atherton,80,GB,1624091767,74,53.5237,-2.4935,62.19,4.0
536,svitavy,82,CZ,1624091768,55,49.7559,16.4683,82.72,3.78
537,labuan,0,MY,1624091769,74,5.2767,115.2417,87.96,5.99
538,rize,20,TR,1624091770,56,40.9044,40.8949,66.65,2.66
